Header,colli_h,colli_o,colli_t_h,colli_t_o,eva_avg_h,eva_avg_o,eva_cur_h,eva_cur_o,idx_h,idx_o,robot_x,robot_y,stop,t
"seq: 28
stamp: 
  secs: 50
  nsecs: 941000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.20072937011719,72.23062896728516,False,0.0
"seq: 29
stamp: 
  secs: 50
  nsecs: 952000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.2000961303711,72.43054962158203,False,0.010999999940395355
"seq: 30
stamp: 
  secs: 50
  nsecs: 967000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.2000961303711,72.43054962158203,False,0.026000000536441803
"seq: 31
stamp: 
  secs: 50
  nsecs: 992000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.19940185546875,72.69035339355469,False,0.050999999046325684
"seq: 32
stamp: 
  secs: 51
  nsecs:  17000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.19940185546875,72.69035339355469,False,0.07599999755620956
"seq: 33
stamp: 
  secs: 51
  nsecs:  38000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,1,14,77.19825744628906,73.14994049072266,False,0.09700000286102295
"seq: 34
stamp: 
  secs: 51
  nsecs:  49000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.19786834716797,73.3495101928711,False,0.1080000028014183
"seq: 35
stamp: 
  secs: 51
  nsecs:  66000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.19741821289062,73.52816009521484,False,0.125
"seq: 36
stamp: 
  secs: 51
  nsecs:  91000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.19721984863281,73.64620208740234,False,0.15000000596046448
"seq: 37
stamp: 
  secs: 51
  nsecs: 117000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.19721984863281,73.64620208740234,False,0.17599999904632568
"seq: 38
stamp: 
  secs: 51
  nsecs: 139000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.19779205322266,74.12676239013672,False,0.1979999989271164
"seq: 39
stamp: 
  secs: 51
  nsecs: 149000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.19902038574219,74.37994384765625,False,0.20800000429153442
"seq: 40
stamp: 
  secs: 51
  nsecs: 167000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.19902038574219,74.37994384765625,False,0.22599999606609344
"seq: 41
stamp: 
  secs: 51
  nsecs: 192000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.20113372802734,74.64115905761719,False,0.25099998712539673
"seq: 42
stamp: 
  secs: 51
  nsecs: 217000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.2032470703125,74.8337173461914,False,0.2759999930858612
"seq: 43
stamp: 
  secs: 51
  nsecs: 231000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.20692443847656,75.08873748779297,False,0.28999999165534973
"seq: 44
stamp: 
  secs: 51
  nsecs: 243000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.2099609375,75.24290466308594,False,0.3019999861717224
"seq: 45
stamp: 
  secs: 51
  nsecs: 266000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.2099609375,75.24290466308594,False,0.32499998807907104
"seq: 46
stamp: 
  secs: 51
  nsecs: 287000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,3,14,77.21776580810547,75.57862854003906,False,0.34599998593330383
"seq: 47
stamp: 
  secs: 51
  nsecs: 302000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,4,14,77.22344207763672,75.80836486816406,False,0.3610000014305115
"seq: 48
stamp: 
  secs: 51
  nsecs: 317000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.22575378417969,75.89823913574219,False,0.37599998712539673
"seq: 49
stamp: 
  secs: 51
  nsecs: 340000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,7,14,77.23103332519531,76.0979232788086,False,0.39899998903274536
"seq: 50
stamp: 
  secs: 51
  nsecs: 354000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,11,14,77.23103332519531,76.0979232788086,False,0.4129999876022339
"seq: 51
stamp: 
  secs: 51
  nsecs: 368000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,11,14,77.2408676147461,76.45756530761719,False,0.4269999861717224
"seq: 52
stamp: 
  secs: 51
  nsecs: 391000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,10,14,77.2408676147461,76.45756530761719,False,0.44999998807907104
"seq: 53
stamp: 
  secs: 51
  nsecs: 409000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,12,14,77.25113677978516,76.8171615600586,False,0.46799999475479126
"seq: 54
stamp: 
  secs: 51
  nsecs: 432000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,11,14,77.25113677978516,76.8171615600586,False,0.4909999966621399
"seq: 55
stamp: 
  secs: 51
  nsecs: 461000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,11,14,77.26288604736328,77.21674346923828,False,0.5199999809265137
"seq: 56
stamp: 
  secs: 51
  nsecs: 483000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,13,14,77.2719955444336,77.51641845703125,False,0.5419999957084656
"seq: 57
stamp: 
  secs: 51
  nsecs: 515000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,9,14,77.2719955444336,77.51641845703125,False,0.5740000009536743
"seq: 58
stamp: 
  secs: 51
  nsecs: 541000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,9,14,77.28987884521484,78.08584594726562,False,0.6000000238418579
"seq: 59
stamp: 
  secs: 51
  nsecs: 567000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,7,14,77.28987884521484,78.08584594726562,False,0.6259999871253967
"seq: 60
stamp: 
  secs: 51
  nsecs: 612000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,8,14,77.30551147460938,78.56245422363281,False,0.6710000038146973
"seq: 61
stamp: 
  secs: 51
  nsecs: 634000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,12,14,77.30551147460938,78.56245422363281,False,0.6930000185966492
"seq: 62
stamp: 
  secs: 51
  nsecs: 658000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,15,13,77.33394622802734,79.26062774658203,False,0.7170000076293945
"seq: 63
stamp: 
  secs: 51
  nsecs: 699000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,14,13,77.34378051757812,79.46985626220703,False,0.7580000162124634
"seq: 64
stamp: 
  secs: 51
  nsecs: 742000000
frame_id: ''",1,0,0.0,0.0,0.9882352948188782,1.0,0.9882352948188782,1.0,16,13,77.36409759521484,79.86781311035156,False,0.8009999990463257
"seq: 65
stamp: 
  secs: 51
  nsecs: 766000000
frame_id: ''",1,0,0.0,0.0,0.9823529124259949,1.0,0.9764705896377563,1.0,17,12,77.38687133789062,80.27236938476562,False,0.824999988079071
