Header,colli_h,colli_o,colli_t_h,colli_t_o,eva_avg_h,eva_avg_o,eva_cur_h,eva_cur_o,idx_h,idx_o,robot_x,robot_y,stop,t
"seq: 624
stamp: 
  secs: 41
  nsecs: 475000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.912776947021484,38.10708999633789,False,0.0
"seq: 625
stamp: 
  secs: 41
  nsecs: 525000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.912593841552734,38.107086181640625,False,0.0
"seq: 626
stamp: 
  secs: 41
  nsecs: 568000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.91238021850586,38.107078552246094,False,0.0
"seq: 627
stamp: 
  secs: 41
  nsecs: 610000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.91221618652344,38.1070671081543,False,0.0
"seq: 628
stamp: 
  secs: 41
  nsecs: 647000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.91206359863281,38.1070671081543,False,0.0
"seq: 629
stamp: 
  secs: 41
  nsecs: 693000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.91191101074219,38.10706329345703,False,0.0
"seq: 630
stamp: 
  secs: 41
  nsecs: 744000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.91175079345703,38.1070556640625,False,0.0
"seq: 631
stamp: 
  secs: 41
  nsecs: 793000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.91154098510742,38.10704803466797,False,0.0
"seq: 632
stamp: 
  secs: 41
  nsecs: 860000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.91130447387695,38.10703659057617,False,0.0
"seq: 633
stamp: 
  secs: 41
  nsecs: 918000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.91108703613281,38.10704040527344,False,0.0
"seq: 634
stamp: 
  secs: 41
  nsecs: 985000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.910865783691406,38.10702896118164,False,0.0
"seq: 635
stamp: 
  secs: 42
  nsecs:  48000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.910614013671875,38.10702133178711,False,0.0
"seq: 636
stamp: 
  secs: 42
  nsecs: 117000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.91036605834961,38.10700988769531,False,0.0
"seq: 637
stamp: 
  secs: 42
  nsecs: 157000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.91011047363281,38.106998443603516,False,0.0
"seq: 638
stamp: 
  secs: 42
  nsecs: 210000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.90996170043945,38.10700225830078,False,0.0
