Header,colli_h,colli_o,colli_t_h,colli_t_o,eva_avg_h,eva_avg_o,eva_cur_h,eva_cur_o,idx_h,idx_o,robot_x,robot_y,stop,t
"seq: 777
stamp: 
  secs: 51
  nsecs: 231000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 778
stamp: 
  secs: 51
  nsecs: 256000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 779
stamp: 
  secs: 51
  nsecs: 271000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 780
stamp: 
  secs: 51
  nsecs: 282000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 781
stamp: 
  secs: 51
  nsecs: 295000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 782
stamp: 
  secs: 51
  nsecs: 307000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 783
stamp: 
  secs: 51
  nsecs: 332000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 784
stamp: 
  secs: 51
  nsecs: 347000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 785
stamp: 
  secs: 51
  nsecs: 358000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 786
stamp: 
  secs: 51
  nsecs: 382000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 787
stamp: 
  secs: 51
  nsecs: 414000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 788
stamp: 
  secs: 51
  nsecs: 430000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 789
stamp: 
  secs: 51
  nsecs: 441000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 790
stamp: 
  secs: 51
  nsecs: 457000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 791
stamp: 
  secs: 51
  nsecs: 483000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 792
stamp: 
  secs: 51
  nsecs: 497000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 793
stamp: 
  secs: 51
  nsecs: 515000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 794
stamp: 
  secs: 51
  nsecs: 537000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
"seq: 795
stamp: 
  secs: 51
  nsecs: 562000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,50,131,False,0.0
