Header,colli_h,colli_o,colli_t_h,colli_t_o,eva_avg_h,eva_avg_o,eva_cur_h,eva_cur_o,idx_h,idx_o,robot_x,robot_y,stop,t
"seq: 132
stamp: 
  secs: 7
  nsecs: 446000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.3182601928711,64.52363586425781,False,0.0
"seq: 133
stamp: 
  secs: 7
  nsecs: 462000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.3182601928711,64.52363586425781,False,0.0
"seq: 134
stamp: 
  secs: 7
  nsecs: 477000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.3182601928711,64.52355194091797,False,0.0
"seq: 135
stamp: 
  secs: 7
  nsecs: 491000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.31827545166016,64.52348327636719,False,0.0
"seq: 136
stamp: 
  secs: 7
  nsecs: 506000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.31827545166016,64.52348327636719,False,0.0
"seq: 137
stamp: 
  secs: 7
  nsecs: 520000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,8,14,77.31827545166016,64.52339935302734,False,0.0
"seq: 138
stamp: 
  secs: 7
  nsecs: 531000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,8,14,77.31827545166016,64.52339935302734,False,0.0
"seq: 139
stamp: 
  secs: 7
  nsecs: 543000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,8,14,77.31826782226562,64.52336883544922,False,0.0
"seq: 140
stamp: 
  secs: 7
  nsecs: 555000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,8,14,77.31827545166016,64.52335357666016,False,0.0
"seq: 141
stamp: 
  secs: 7
  nsecs: 573000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,8,14,77.31827545166016,64.52335357666016,False,0.0
"seq: 142
stamp: 
  secs: 7
  nsecs: 592000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,8,14,77.31827545166016,64.52333068847656,False,0.0
"seq: 143
stamp: 
  secs: 7
  nsecs: 604000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,8,14,77.31827545166016,64.52333068847656,False,0.0
"seq: 144
stamp: 
  secs: 7
  nsecs: 615000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,8,14,77.31828308105469,64.52328491210938,False,0.0
"seq: 145
stamp: 
  secs: 7
  nsecs: 631000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,9,14,77.31828308105469,64.52328491210938,False,0.0
"seq: 146
stamp: 
  secs: 7
  nsecs: 644000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,9,14,77.31829071044922,64.52320861816406,False,0.0
"seq: 147
stamp: 
  secs: 7
  nsecs: 659000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,9,14,77.31827545166016,64.52317810058594,False,0.0
"seq: 148
stamp: 
  secs: 7
  nsecs: 680000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,9,14,77.31828308105469,64.52312469482422,False,0.0
"seq: 149
stamp: 
  secs: 7
  nsecs: 699000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31829833984375,64.52305603027344,False,0.0
"seq: 150
stamp: 
  secs: 7
  nsecs: 716000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31828308105469,64.52301025390625,False,0.0
"seq: 151
stamp: 
  secs: 7
  nsecs: 730000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31829071044922,64.52296447753906,False,0.0
"seq: 152
stamp: 
  secs: 7
  nsecs: 755000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31829071044922,64.52296447753906,False,0.0
"seq: 153
stamp: 
  secs: 7
  nsecs: 770000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31829071044922,64.52288818359375,False,0.0
"seq: 154
stamp: 
  secs: 7
  nsecs: 799000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31829833984375,64.52285766601562,False,0.0
"seq: 155
stamp: 
  secs: 7
  nsecs: 819000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31829833984375,64.52285766601562,False,0.0
"seq: 156
stamp: 
  secs: 7
  nsecs: 835000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31830596923828,64.52273559570312,False,0.0
"seq: 157
stamp: 
  secs: 7
  nsecs: 854000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31829833984375,64.522705078125,False,0.0
"seq: 158
stamp: 
  secs: 7
  nsecs: 874000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31829833984375,64.52265167236328,False,0.0
"seq: 159
stamp: 
  secs: 7
  nsecs: 898000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31829833984375,64.52265167236328,False,0.0
"seq: 160
stamp: 
  secs: 7
  nsecs: 919000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31830596923828,64.52254486083984,False,0.0
"seq: 161
stamp: 
  secs: 7
  nsecs: 942000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31813049316406,64.5274658203125,False,0.0
"seq: 162
stamp: 
  secs: 7
  nsecs: 957000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31813049316406,64.5274658203125,False,0.014999999664723873
"seq: 163
stamp: 
  secs: 7
  nsecs: 990000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31726837158203,64.5477523803711,False,0.04800000041723251
"seq: 164
stamp: 
  secs: 8
  nsecs:  12000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.3159408569336,64.57958984375,False,0.07000000029802322
