Header,colli_h,colli_o,colli_t_h,colli_t_o,eva_avg_h,eva_avg_o,eva_cur_h,eva_cur_o,idx_h,idx_o,robot_x,robot_y,stop,t
"seq: 255
stamp: 
  secs: 17
  nsecs: 108000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.954227447509766,38.1417350769043,False,0.0
"seq: 256
stamp: 
  secs: 17
  nsecs: 146000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.95404815673828,38.14173126220703,False,0.0
"seq: 257
stamp: 
  secs: 17
  nsecs: 205000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.95392608642578,38.1417236328125,False,0.0
"seq: 258
stamp: 
  secs: 17
  nsecs: 249000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.95392608642578,38.1417236328125,False,0.0
"seq: 259
stamp: 
  secs: 17
  nsecs: 290000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.95357894897461,38.14171600341797,False,0.0
"seq: 260
stamp: 
  secs: 17
  nsecs: 316000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.953453063964844,38.14170837402344,False,0.0
"seq: 261
stamp: 
  secs: 17
  nsecs: 367000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.953365325927734,38.14170837402344,False,0.0
"seq: 262
stamp: 
  secs: 17
  nsecs: 406000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.95321273803711,38.14170455932617,False,0.0
"seq: 263
stamp: 
  secs: 17
  nsecs: 456000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.95309829711914,38.141700744628906,False,0.0
"seq: 264
stamp: 
  secs: 17
  nsecs: 486000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.95309829711914,38.141700744628906,False,0.0
"seq: 265
stamp: 
  secs: 17
  nsecs: 511000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.952850341796875,38.14169692993164,False,0.0
"seq: 266
stamp: 
  secs: 17
  nsecs: 555000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.9527702331543,38.14168930053711,False,0.0
