Header,colli_h,colli_o,colli_t_h,colli_t_o,eva_avg_h,eva_avg_o,eva_cur_h,eva_cur_o,idx_h,idx_o,robot_x,robot_y,stop,t
"seq: 122
stamp: 
  secs: 8
  nsecs: 671000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,4,14,77.32955932617188,64.52271270751953,False,0.0
"seq: 123
stamp: 
  secs: 8
  nsecs: 682000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,4,14,77.32955932617188,64.52271270751953,False,0.0
"seq: 124
stamp: 
  secs: 8
  nsecs: 695000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,5,14,77.3295669555664,64.52265167236328,False,0.0
"seq: 125
stamp: 
  secs: 8
  nsecs: 709000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,5,14,77.3295669555664,64.5225830078125,False,0.0
"seq: 126
stamp: 
  secs: 8
  nsecs: 722000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,5,14,77.3295669555664,64.5225830078125,False,0.0
"seq: 127
stamp: 
  secs: 8
  nsecs: 738000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,1,14,77.32958221435547,64.52249908447266,False,0.0
"seq: 128
stamp: 
  secs: 8
  nsecs: 760000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.3295669555664,64.52243041992188,False,0.0
"seq: 129
stamp: 
  secs: 8
  nsecs: 782000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.32957458496094,64.52235412597656,False,0.0
"seq: 130
stamp: 
  secs: 8
  nsecs: 799000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.32957458496094,64.52235412597656,False,0.0
"seq: 131
stamp: 
  secs: 8
  nsecs: 812000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,1,14,77.32958221435547,64.52222442626953,False,0.0
"seq: 132
stamp: 
  secs: 8
  nsecs: 824000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,1,14,77.32958221435547,64.52214813232422,False,0.0
"seq: 133
stamp: 
  secs: 8
  nsecs: 837000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,1,14,77.32958221435547,64.52214813232422,False,0.0
"seq: 134
stamp: 
  secs: 8
  nsecs: 853000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.32958984375,64.5220718383789,False,0.0
"seq: 135
stamp: 
  secs: 8
  nsecs: 874000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.32959747314453,64.52201080322266,False,0.0
"seq: 136
stamp: 
  secs: 8
  nsecs: 887000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.32958984375,64.52194213867188,False,0.0
"seq: 137
stamp: 
  secs: 8
  nsecs: 908000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.32958984375,64.5218734741211,False,0.0
"seq: 138
stamp: 
  secs: 8
  nsecs: 917000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.32960510253906,64.52178192138672,False,0.0
"seq: 139
stamp: 
  secs: 8
  nsecs: 932000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,1,14,77.32960510253906,64.52178192138672,False,0.0
"seq: 140
stamp: 
  secs: 8
  nsecs: 946000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,1,14,77.3296127319336,64.52171325683594,False,0.0
"seq: 141
stamp: 
  secs: 8
  nsecs: 965000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.32959747314453,64.52165985107422,False,0.0
"seq: 142
stamp: 
  secs: 8
  nsecs: 987000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.3296127319336,64.5215835571289,False,0.0
"seq: 143
stamp: 
  secs: 9
  nsecs:   1000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,2,14,77.32960510253906,64.5215072631836,False,0.0
"seq: 144
stamp: 
  secs: 9
  nsecs:  12000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.32960510253906,64.5215072631836,False,0.0
"seq: 145
stamp: 
  secs: 9
  nsecs:  37000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.32962036132812,64.52139282226562,False,0.0
"seq: 146
stamp: 
  secs: 9
  nsecs:  54000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.32962036132812,64.52131652832031,False,0.0
"seq: 147
stamp: 
  secs: 9
  nsecs:  66000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.3296127319336,64.5212631225586,False,0.0
"seq: 148
stamp: 
  secs: 9
  nsecs:  88000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.32962799072266,64.52119445800781,False,0.0
"seq: 149
stamp: 
  secs: 9
  nsecs: 116000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.32962799072266,64.52112579345703,False,0.0
"seq: 150
stamp: 
  secs: 9
  nsecs: 136000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,14,77.32940673828125,64.52739715576172,False,0.0
