Header,colli_h,colli_o,colli_t_h,colli_t_o,eva_avg_h,eva_avg_o,eva_cur_h,eva_cur_o,idx_h,idx_o,robot_x,robot_y,stop,t
"seq: 191
stamp: 
  secs: 26
  nsecs: 631000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.966064453125,38.10914993286133,False,0.0
"seq: 192
stamp: 
  secs: 26
  nsecs: 709000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96575164794922,38.1091423034668,False,0.0
"seq: 193
stamp: 
  secs: 26
  nsecs: 745000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96547317504883,38.109130859375,False,0.0
"seq: 194
stamp: 
  secs: 26
  nsecs: 791000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96534729003906,38.109130859375,False,0.0
"seq: 195
stamp: 
  secs: 26
  nsecs: 834000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96514892578125,38.1091194152832,False,0.0
"seq: 196
stamp: 
  secs: 26
  nsecs: 893000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96514892578125,38.1091194152832,False,0.0
"seq: 197
stamp: 
  secs: 26
  nsecs: 935000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.964752197265625,38.10911560058594,False,0.0
"seq: 198
stamp: 
  secs: 26
  nsecs: 972000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96458435058594,38.10910415649414,False,0.0
"seq: 199
stamp: 
  secs: 27
  nsecs:  39000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96445846557617,38.10910415649414,False,0.0
"seq: 200
stamp: 
  secs: 27
  nsecs:  91000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.964176177978516,38.10909652709961,False,0.0
"seq: 201
stamp: 
  secs: 27
  nsecs: 141000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.9639892578125,38.10908889770508,False,0.0
"seq: 202
stamp: 
  secs: 27
  nsecs: 179000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.963802337646484,38.109092712402344,False,0.0
"seq: 203
stamp: 
  secs: 27
  nsecs: 216000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.963802337646484,38.109092712402344,False,0.0
"seq: 204
stamp: 
  secs: 27
  nsecs: 266000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96348571777344,38.10908126831055,False,0.0
"seq: 205
stamp: 
  secs: 27
  nsecs: 334000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96348571777344,38.10908126831055,False,0.0
"seq: 206
stamp: 
  secs: 27
  nsecs: 368000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96303939819336,38.10906982421875,False,0.0
"seq: 207
stamp: 
  secs: 27
  nsecs: 443000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.962886810302734,38.10906219482422,False,0.0
"seq: 208
stamp: 
  secs: 27
  nsecs: 474000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96259689331055,38.10905838012695,False,0.0
"seq: 209
stamp: 
  secs: 27
  nsecs: 536000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96259689331055,38.10905838012695,False,0.0
"seq: 210
stamp: 
  secs: 27
  nsecs: 616000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96223449707031,38.109046936035156,False,0.0
"seq: 211
stamp: 
  secs: 27
  nsecs: 689000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.9619255065918,38.10905075073242,False,0.0
"seq: 212
stamp: 
  secs: 27
  nsecs: 759000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.9619255065918,38.10905075073242,False,0.0
"seq: 213
stamp: 
  secs: 27
  nsecs: 826000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.96134948730469,38.109031677246094,False,0.0
"seq: 214
stamp: 
  secs: 27
  nsecs: 860000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.961090087890625,38.1090202331543,False,0.0
"seq: 215
stamp: 
  secs: 27
  nsecs: 901000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.960960388183594,38.1090202331543,False,0.0
"seq: 216
stamp: 
  secs: 27
  nsecs: 967000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,62.975440979003906,38.109249114990234,False,0.0
"seq: 217
stamp: 
  secs: 28
  nsecs:  17000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.042877197265625,38.111515045166016,False,0.05000000074505806
"seq: 218
stamp: 
  secs: 28
  nsecs:  70000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.09515380859375,38.11383819580078,False,0.10300000011920929
"seq: 219
stamp: 
  secs: 28
  nsecs: 122000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.1380500793457,38.11606979370117,False,0.1550000011920929
"seq: 220
stamp: 
  secs: 28
  nsecs: 164000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.17753219604492,38.11854934692383,False,0.19699999690055847
"seq: 221
stamp: 
  secs: 28
  nsecs: 205000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.17753219604492,38.11854934692383,False,0.23800000548362732
"seq: 222
stamp: 
  secs: 28
  nsecs: 260000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.26793670654297,38.12393569946289,False,0.2930000126361847
"seq: 223
stamp: 
  secs: 28
  nsecs: 292000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.37127685546875,38.13018798828125,False,0.32499998807907104
"seq: 224
stamp: 
  secs: 28
  nsecs: 324000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.444549560546875,38.13460922241211,False,0.3569999933242798
"seq: 225
stamp: 
  secs: 28
  nsecs: 391000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.444549560546875,38.13460922241211,False,0.42399999499320984
"seq: 226
stamp: 
  secs: 28
  nsecs: 442000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.74313735961914,38.153072357177734,False,0.4749999940395355
"seq: 227
stamp: 
  secs: 28
  nsecs: 492000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.93893051147461,38.16668701171875,False,0.5249999761581421
"seq: 228
stamp: 
  secs: 28
  nsecs: 523000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,63.93893051147461,38.16668701171875,False,0.5559999942779541
"seq: 229
stamp: 
  secs: 28
  nsecs: 574000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,64.22630310058594,38.18925476074219,False,0.6069999933242798
"seq: 230
stamp: 
  secs: 28
  nsecs: 617000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,64.39795684814453,38.20414733886719,False,0.6499999761581421
"seq: 231
stamp: 
  secs: 28
  nsecs: 666000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,64.39795684814453,38.20414733886719,False,0.6990000009536743
"seq: 232
stamp: 
  secs: 28
  nsecs: 691000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,64.70508575439453,38.23347091674805,False,0.7239999771118164
"seq: 233
stamp: 
  secs: 28
  nsecs: 720000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,64.8131332397461,38.24457550048828,False,0.753000020980835
